"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","fitness","num-replicates","best-fitness-so-far"
"5","390","32","60","8","7","4","true","83.34989184964952","10","83.34989184964952"
"5","400","20","53","6","9","8","false","53.409445094062015","10","83.34989184964952"
"5","410","32","57","5","4","6","false","57.261729341292416","10","83.34989184964952"
"5","420","32","54","10","4","3","true","84.28301677326047","10","84.28301677326047"
"5","430","32","54","8","4","9","true","75.28711788347643","10","84.28301677326047"
"5","440","32","54","10","6","4","true","85.3894180777705","10","85.3894180777705"
"5","450","32","59","9","6","8","false","59.488239963931825","10","85.3894180777705"
"5","460","32","58","7","5","4","true","71.58548422446172","10","85.3894180777705"
"5","470","20","55","7","6","8","true","77.1670975980506","10","85.3894180777705"
"5","480","20","60","5","6","8","false","60.14351887928795","10","85.3894180777705"
"5","490","36","58","6","4","8","false","58.0592540029575","10","85.3894180777705"
"5","500","24","50","8","5","7","true","74.6823363930904","10","85.3894180777705"
"6","10","20","51","5","4","7","false","51.08062602481776","10","51.08062602481776"
"6","20","40","52","6","6","9","true","69.56546136315026","10","69.56546136315026"
"6","30","20","59","5","4","7","true","67.66128182503768","10","69.56546136315026"
"6","40","24","57","7","6","4","true","70.65340905415009","10","70.65340905415009"
"6","50","32","59","8","4","8","true","82.54605072743347","10","82.54605072743347"
"6","60","24","56","9","6","9","true","82.32116647039543","10","82.54605072743347"
"6","70","36","56","7","8","10","true","76.22295720870741","10","82.54605072743347"
"6","80","40","50","10","7","7","true","83.62643050709491","10","83.62643050709491"
"6","90","32","59","6","6","9","false","59.26570715416951","10","83.62643050709491"
"6","100","20","58","5","7","7","true","68.46202207197817","10","83.62643050709491"
"6","110","28","56","7","5","7","false","56.53813757575168","10","83.62643050709491"
"6","120","32","50","5","7","10","false","50.26910474752026","10","83.62643050709491"
"6","130","20","52","8","8","4","false","52.62732755204165","10","83.62643050709491"
"6","140","24","59","8","4","10","true","79.99011973030922","10","83.62643050709491"
"6","150","40","52","6","8","4","true","67.87832177373635","10","83.62643050709491"
"6","160","20","57","8","4","9","true","78.21251717678092","10","83.62643050709491"
"6","170","32","50","9","7","6","true","82.29834465632321","10","83.62643050709491"
"6","180","24","50","8","4","5","true","74.09029013174624","10","83.62643050709491"
"6","190","20","57","10","6","5","true","88.25312127032828","10","88.25312127032828"
"6","200","24","60","10","4","6","true","91.84521467988021","10","91.84521467988021"
"6","210","36","50","8","4","6","false","50.31521852434638","10","91.84521467988021"
"6","220","24","52","5","7","8","true","64.70757076464953","10","91.84521467988021"
"6","230","32","58","5","6","5","true","67.19693093713951","10","91.84521467988021"
"6","240","36","58","10","8","4","true","86.45428150441799","10","91.84521467988021"
"6","250","28","53","5","6","5","true","63.18833362161581","10","91.84521467988021"
